Week,player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
2,Zach Terrell,12086,QB,W MICHIGAN,1,8.62,0,59,347,64.1,39,40,13.3,2.92,0,2,4.7,57.5,23,27,8.0,49,83.1,2,16,,69.8,80.2,76.8,76.3,,69.0,0,2,52,29.6,78.3,16.3,8,1,0,1,2,0,0.0,312,7.8,68.4,38,39,9.8,2.59,0,1,2.4,64.1,25,20,3.8,43,72.9,1,14,,69.4,73.0,76.4,72.2,,,0,1,46,20.0,84.2,9.3,4,0,0,1,1,0,0.0,289,7.4,81.8,11,11,10.5,2.81,0,1,9.1,72.7,8,8,11.1,16,27.1,1,4,,66.5,86.0,71.6,78.3,,69.0,0,1,16,50.0,85.4,25.0,4,1,0,0,1,0,0.0,80,7.3,0,100.0,10,10,-2.9,1.32,0,0,0.0,100.0,10,1,0.0,10,16.9,0,2,,65.4,67.7,70.1,67.4,,,0,0,10,0.0,90.4,0.0,0,0,0,0,0,0,0.0,57,5.7,-0.14
2,Patrick Mahomes,11765,QB,TEXAS TECH,1,-16.37,0,56,315,72.1,43,44,12.6,2.62,0,2,4.4,59.1,26,10,16.1,47,83.9,5,16,,70.7,76.0,77.3,74.5,,64.8,0,1,48,0.0,105.8,0.0,0,3,0,1,4,1,2.1,355,8.1,80.6,31,32,9.0,2.41,0,1,3.1,68.8,22,6,12.0,33,58.9,3,12,,69.9,80.9,76.4,79.9,,64.1,0,0,33,0.0,125.3,0.0,0,1,0,1,3,1,3.0,266,8.3,71.4,21,21,11.6,2.36,0,1,4.5,52.4,11,4,26.7,23,41.1,4,6,,67.6,63.8,73.0,62.7,,62.1,0,1,24,0.0,73.5,0.0,0,2,0,0,1,0,0.0,160,7.6,0,100.0,9,9,-2.3,1.18,0,0,0.0,77.8,7,0,22.2,9,16.1,2,2,,65.1,67.7,69.8,67.4,,,0,0,9,,99.5,0.0,0,0,0,0,0,0,0.0,71,7.9,-0.69
2,Matt Linehan,46436,QB,IDAHO,1,3.42,0,55,185,84.8,46,48,8.5,2.56,1,1,2.0,75.0,36,12,7.7,55,100.0,3,21,,70.7,84.9,77.3,79.8,,75.6,0,2,56,25.0,79.9,5.5,3,4,0,1,1,0,0.0,297,6.2,84.2,38,39,8.8,2.45,1,1,2.5,74.4,29,8,9.4,43,78.2,3,17,,70.1,85.1,76.7,80.8,,72.9,0,2,44,12.5,75.6,2.3,1,3,0,0,1,0,0.0,228,5.8,87.5,8,9,6.8,2.94,0,0,0.0,77.8,7,4,0.0,12,21.8,0,4,,65.8,70.6,70.7,66.0,,64.3,0,0,12,50.0,98.6,16.7,2,1,0,1,0,0,0.0,69,7.7,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,1.82
2,Austin Appleby,12316,QB,PURDUE,1,-22.22,0,53,273,62.2,37,38,10.3,2.59,0,2,5.0,57.9,22,14,4.3,41,77.4,1,12,,41.9,47.5,77.8,42.0,,65.4,0,4,43,14.3,44.7,4.9,2,1,0,1,1,6,14.0,230,6.1,72.2,36,36,6.1,2.29,0,1,2.7,72.2,26,11,0.0,39,73.6,0,13,,40.6,53.5,77.6,48.2,,65.4,0,2,40,18.2,71.3,5.1,2,1,0,0,1,4,10.0,198,5.5,61.5,13,14,9.6,2.43,0,1,6.7,50.0,7,5,12.5,14,26.4,1,1,,66.4,49.2,71.4,49.2,,,0,2,15,0.0,25.0,0.0,0,0,0,1,0,2,13.3,70,5.0,0,91.7,12,12,-3.0,1.44,0,0,0.0,91.7,11,2,0.0,12,22.6,0,2,,65.8,68.6,70.7,68.2,,,0,0,12,0.0,79.9,0.0,0,0,0,0,0,0,0.0,38,3.2,-0.5
2,Mike Bercovici,10986,QB,ARIZONA ST,1,-5.29,0,53,110,84.4,32,38,6.1,2.48,1,0,0.0,55.3,21,21,22.2,49,92.5,6,10,,18.5,52.6,77.5,50.9,,59.9,1,0,51,38.1,77.1,16.3,8,3,0,4,1,3,5.9,184,4.8,91.3,23,26,5.0,2.29,1,0,0.0,61.5,16,14,23.8,35,66.0,5,7,,15.1,53.3,76.8,51.2,,59.9,1,0,37,42.9,75.0,17.1,6,3,0,1,0,3,8.1,135,5.2,76.9,13,16,5.1,2.67,0,0,0.0,56.3,9,7,10.0,18,34.0,1,3,,66.8,57.2,72.0,57.0,,,0,0,18,28.6,86.5,11.1,2,0,0,3,1,0,0.0,64,4.0,0,100.0,4,4,-4.0,1.6,0,0,0.0,100.0,4,0,0.0,4,7.5,0,0,,63.3,65.0,67.4,64.8,,,0,0,4,,82.3,0.0,0,0,0,0,0,0,0.0,15,3.8,-1.19
2,Sefo Liufau,12064,QB,COLORADO,1,-8.33,0,53,143,67.6,34,39,7.1,3.03,0,2,5.0,56.4,22,17,4.3,51,96.2,1,13,,71.6,76.7,78.0,71.7,,70.5,0,1,52,17.6,54.6,5.9,3,9,1,4,0,1,1.9,152,3.9,68.8,32,36,7.0,2.98,0,2,5.4,58.3,21,17,4.5,48,90.6,1,11,,71.4,79.3,77.8,72.6,,73.7,0,1,49,23.5,55.3,8.3,4,8,1,3,0,1,2.0,140,3.9,66.7,3,4,5.0,3.26,0,0,0.0,50.0,2,1,0.0,5,9.4,0,2,,63.8,50.3,68.1,58.0,,56.4,0,0,5,0.0,61.5,0.0,0,1,0,1,0,0,0.0,17,4.3,0,100.0,1,1,-1.0,2.5,0,0,0.0,100.0,1,1,0.0,2,3.8,0,0,,61.8,58.9,65.5,58.9,,,0,0,2,100.0,87.5,50.0,1,0,0,0,0,0,0.0,5,5.0,0.36
2,Jack Milas,22500,QB,BALL ST,1,-7.3,0,52,117,68.6,35,38,10.7,2.03,2,1,2.6,52.6,20,6,16.7,38,73.1,4,14,,71.1,54.7,77.6,52.1,,62.7,0,1,40,0.0,56.4,0.0,0,0,1,0,0,2,5.0,195,5.1,78.6,42,45,5.2,1.92,2,1,2.1,64.4,29,4,12.1,45,86.5,4,17,,71.4,58.8,78.0,56.6,,62.7,0,1,48,0.0,81.3,0.0,0,0,1,0,1,2,4.2,295,6.6,71.4,7,7,14.7,2.07,0,0,0.0,57.1,4,2,20.0,7,13.5,1,4,,64.6,56.8,69.1,56.8,,,0,0,7,0.0,72.9,0.0,0,0,0,0,0,0,0.0,39,5.6,0,100.0,14,14,-3.9,1.68,0,0,0.0,92.9,13,0,7.1,14,26.9,1,7,,66.4,69.3,71.4,68.9,,,0,0,15,,131.8,0.0,0,0,0,0,1,0,0.0,139,9.9,-0.99
2,Matt Johnson,11111,QB,BOWL GREEN,1,16.32,0,52,122,53.7,41,44,15.1,2.54,2,8,17.4,50.0,22,21,0.0,48,92.3,0,16,,42.9,69.1,77.4,72.8,,50.8,0,0,50,14.3,96.0,6.3,3,1,0,1,2,1,2.0,392,8.9,53.6,28,31,13.2,2.59,2,6,18.2,48.4,15,16,0.0,35,67.3,0,9,,37.0,68.0,76.7,73.1,,50.8,0,0,37,18.8,83.9,8.6,3,1,0,1,1,1,2.7,229,7.4,64.7,17,17,14.1,2.34,0,2,11.1,64.7,11,6,0.0,17,32.7,0,8,,66.8,65.6,72.0,65.2,,,0,0,18,0.0,121.4,0.0,0,0,0,0,1,0,0.0,187,11.0,0,100.0,4,4,-2.3,2.13,0,0,0.0,100.0,4,1,0.0,4,7.7,0,1,,63.8,59.0,68.1,58.8,,,0,0,5,0.0,91.7,0.0,0,0,0,0,0,0,0.0,24,6.0,3.61
2,Cooper Rush,12324,QB,C MICHIGAN,1,12.15,0,49,134,72.7,33,33,8.9,2.77,0,1,2.9,63.6,21,21,12.5,41,83.7,3,13,,69.2,57.6,76.6,56.3,,60.7,0,1,43,14.3,67.9,7.3,3,5,0,0,0,1,2.4,201,6.1,77.4,31,32,6.9,2.68,0,0,0.0,65.6,21,19,12.5,40,81.6,3,13,,69.1,53.5,76.5,51.6,,60.7,0,1,41,15.8,64.2,7.5,3,5,0,1,0,1,2.5,157,4.9,77.8,9,9,6.9,2.26,0,1,10.0,77.8,7,3,0.0,9,18.4,0,2,,65.4,74.3,70.1,73.9,,,0,0,10,0.0,98.1,0.0,0,0,0,0,0,0,0.0,68,7.6,0,100.0,7,8,-2.3,1.76,0,0,0.0,87.5,7,1,0.0,8,16.3,0,2,,64.9,64.7,69.5,64.4,,,0,0,8,0.0,79.2,0.0,0,0,0,1,0,0,0.0,24,3.0,2.65
2,Luke Falk,46586,QB,WASH STATE,1,0.88,0,48,341,73.0,37,37,9.4,3.03,0,4,10.3,62.2,23,8,14.8,44,91.7,4,12,,36.4,61.8,22.8,72.9,,39.7,0,0,46,12.5,91.5,2.3,1,6,0,0,1,3,6.5,254,6.9,76.3,38,38,7.9,2.9,0,4,10.0,65.8,25,8,13.8,45,93.8,4,12,,37.0,59.3,23.3,70.3,,39.7,0,0,47,12.5,103.4,2.2,1,6,0,0,2,3,6.4,264,6.9,66.7,3,3,12.3,3.37,0,0,0.0,66.7,2,0,0.0,3,6.3,0,2,,62.7,78.2,66.6,77.6,,,0,0,3,,89.6,0.0,0,0,0,0,0,0,0.0,23,7.7,0,100.0,4,4,-2.5,1.9,0,0,0.0,100.0,4,0,0.0,4,8.3,0,2,,63.3,65.0,67.4,64.7,,,0,0,4,,140.6,0.0,0,0,0,0,1,0,0.0,33,8.3,0.72
2,Montell Cozart,46563,QB,KANSAS,1,10.29,0,48,198,79.4,34,37,8.8,2.81,1,2,5.4,67.6,25,10,7.4,47,97.9,2,18,,25.5,63.0,77.9,77.3,,44.9,0,0,47,0.0,100.2,0.0,0,10,0,2,1,1,2.1,291,7.9,77.4,31,34,8.7,2.84,1,2,5.9,64.7,22,8,8.3,43,89.6,2,16,,24.7,55.1,77.8,66.0,,45.8,0,1,43,0.0,85.5,0.0,0,9,0,2,1,2,4.7,261,7.7,75.0,4,4,5.8,2.4,0,0,0.0,75.0,3,2,0.0,5,10.4,0,2,,63.8,59.9,68.1,65.3,,57.0,0,0,5,0.0,95.8,0.0,0,1,0,0,0,0,0.0,30,7.5,0,0.0,1,1,-5.0,2.0,0,0,0.0,0.0,0,0,,1,2.1,0,0,,60.3,29.8,63.6,34.9,,,0,1,1,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0,-0.18
2,Nick Mullens,12282,QB,SO MISS,1,-21.12,0,47,296,78.6,28,33,11.0,2.82,2,1,3.0,63.6,21,17,4.5,36,76.6,1,15,,42.0,77.1,25.8,83.9,,47.1,0,2,36,17.6,74.4,8.3,3,0,0,3,1,0,0.0,273,8.3,85.7,21,23,3.6,2.28,1,0,0.0,78.3,18,7,0.0,25,53.2,0,7,,35.8,58.0,21.9,66.8,,47.1,0,1,27,28.6,73.0,8.0,2,0,0,1,0,0,0.0,135,5.9,76.5,17,21,12.6,2.85,1,1,4.8,57.1,12,12,7.7,22,46.8,1,8,,67.4,90.2,72.7,89.8,,,0,1,22,8.3,80.3,4.5,1,0,0,3,1,0,0.0,174,8.3,0,90.0,10,11,-1.8,1.65,0,0,0.0,81.8,9,2,0.0,11,23.4,0,0,,66.0,66.9,71.0,66.6,,,0,0,13,0.0,80.3,0.0,0,0,0,1,0,0,0.0,36,3.3,2.42
2,Nick Arbuckle,16351,QB,GA STATE,1,-8.54,0,47,175,71.4,35,38,11.0,2.59,1,3,7.3,52.6,20,12,20.0,42,89.4,5,8,,69.4,65.1,23.3,67.5,,56.2,0,1,45,25.0,80.0,7.1,3,1,0,2,2,1,2.2,251,6.6,76.3,38,41,9.4,2.48,1,3,6.8,58.5,24,12,17.2,45,95.7,5,10,,69.5,68.0,24.6,70.4,,56.2,0,1,48,25.0,86.0,6.7,3,1,0,2,2,1,2.1,286,7.0,50.0,2,2,3.0,3.55,0,0,0.0,50.0,1,1,0.0,2,4.3,0,0,,61.8,47.9,65.5,48.2,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,-4,-2.0,0,100.0,5,5,-4.0,1.96,0,0,0.0,100.0,5,1,0.0,5,10.6,0,2,,63.8,65.7,68.1,65.4,,,0,0,5,0.0,92.5,0.0,0,0,0,0,0,0,0.0,31,6.2,-8.98
