week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,Peyton Manning,327,QB,IND,1,68.3,41,41,10.1,2.71,0,3,7.1,61,25,0,18,10.7,42,3,17,14,79.5,77.6,75.9,,0,1,43,0,5.6,78.9,2.4,1,0,0,0,1,3,7,276,6.7
1,Alex Smith,2218,QB,SF,1,69.4,36,40,8.8,2.9,0,2,4.7,57.5,23,0,10,8,41,2,10,28,79.6,54.7,54.6,,1,0,44,0,10,88.3,2.4,1,0,2,1,1,2,4.5,288,7.2
1,Jake Delhomme,303,QB,CAR,1,56.8,37,39,10.1,2.53,2,0,0,53.8,21,0,16,0,43,0,10,5,42.1,39.1,40.3,,0,1,45,0,25,56.1,9.3,4,0,0,0,0,4,8.9,186,4.8
1,Kerry Collins,115,QB,TEN,1,72.4,29,38,8.8,2.63,5,1,2.5,44.7,17,0,11,19,40,4,12,31,79.3,63.9,63,,2,2,42,1,18.2,41.9,5,2,0,0,2,0,2,4.8,223,5.9
1,Daunte Culpepper,446,QB,MIA,1,58.8,34,37,8.9,2.7,0,1,2.6,48.6,18,0,20,10,42,2,13,17,79.8,48.6,50.3,52.3,1,2,44,0,15,49.6,7.1,3,2,0,2,0,2,4.5,262,7.1
1,Jon Kitna,217,QB,DET,1,67.6,34,37,8.7,3.01,0,1,2.6,56.8,21,0,8,8.7,40,2,9,11,79.3,56.8,56.5,,0,0,42,1,37.5,75.2,7.5,3,0,0,3,0,0,0,229,6.2
1,Kurt Warner,112,QB,ARZ,1,75,32,36,8.1,2.46,3,1,2.7,61.1,22,0,10,8.3,39,2,17,1,21.3,69.4,75.5,40.9,0,0,40,1,30,114.9,7.7,3,0,0,1,3,1,2.5,295,8.2
1,Donovan McNabb,438,QB,PHI,1,82.4,34,35,9.7,2.88,0,2,5.7,68.6,24,0,14,14.3,38,4,18,24,79.4,70.7,70.3,59.5,1,1,38,0,7.1,113.3,2.6,1,1,0,0,3,3,7.9,314,9
1,Eli Manning,1722,QB,NYG,1,67.6,34,34,8.9,2.46,0,1,2.9,58.8,20,0,11,13,34,3,14,21,27.7,53.3,60.8,55.7,0,1,35,1,0,88.7,0,0,0,0,0,2,3,8.6,247,7.3
1,Byron Leftwich,1323,QB,JAX,1,71.9,32,34,8.1,2.56,2,1,2.9,67.6,23,0,11,0,37,0,14,15,40,59.7,60.5,54.6,0,1,37,0,9.1,85,2.7,1,1,0,0,1,2,5.4,237,7
1,Marc Bulger,684,QB,SL,1,70,30,34,8.2,2.56,1,1,2.9,52.9,18,0,13,14.3,37,3,9,26,79.4,54.9,57.5,48.1,0,0,38,1,23.1,72.8,8.1,3,0,0,3,0,1,2.6,217,6.4
1,Chad Pennington,596,QB,NYJ,1,83.9,31,33,10.7,2.33,0,3,8.3,72.7,24,0,14,7.7,36,2,16,22,79,91,91.2,52.3,2,0,39,0,14.3,123.2,5.6,2,1,0,0,2,0,0,319,9.7
1,Drew Bledsoe,36,QB,DAL,1,56.7,30,33,11,2.86,1,1,2.7,48.5,16,0,19,5.9,36,1,10,9,79.3,51.3,50.9,60.2,0,3,40,1,10.5,45.8,5.6,2,1,0,2,1,4,10,246,7.5
1,Brad Johnson,31,QB,MIN,1,76.9,26,30,14,2.63,1,3,8.6,53.3,16,0,6,20,31,4,10,18,78.5,76,75.9,56.7,1,0,36,1,16.7,89.2,3.2,1,0,0,2,1,2,5.6,227,7.6
1,Matt Hasselbeck,408,QB,SEA,1,86.2,29,30,6.8,2.7,0,0,0,83.3,25,0,12,0,38,0,12,29,78.7,58.3,61,49,0,0,38,0,41.7,96,13.2,5,3,1,0,0,2,5.3,211,7
1,Drew Brees,802,QB,NO,1,66.7,27,30,8.6,2.62,1,0,0,53.3,16,0,5,11.1,30,2,12,20,78.1,55.6,58.6,47.6,0,1,30,0,0,67.4,0,0,0,0,2,1,1,3.3,170,5.7
1,Brett Favre,14,QB,GB,1,59.3,27,29,11.7,2.43,1,1,3.3,51.7,15,0,8,6.3,32,1,8,12,78.3,42.1,42.6,59.4,0,2,34,0,37.5,40.9,9.4,3,0,0,1,0,3,8.8,170,5.9
